Implicit,Explicit,racenum,sexnum,politics,datecode,age,year,education,numiats,religiosity
-0.17582615293653817,4,8,1,4,3217,16,2015,3,2,3
-0.4460925244987537,3,2,0,NA,1885,12,2012,5,NA,3
-0.17129376933731447,4,6,1,4,2091,16,2012,3,2,3
0.3939564515402437,4,6,0,4,2930,21,2015,5,2,3
0.2493635700881705,7,6,0,4,743,26,2009,9,1,3
-0.17338843477794025,3,6,1,4,730,21,2008,5,2,NA
0.14192492666099465,4,6,1,4,3021,19,2015,4,3,3
1.0299492109239303,7,NA,NA,NA,1052,NA,2009,NA,NA,NA
0.31092649516554,4,6,1,4,2227,36,2013,9,3,NA
0.44642809366654845,4,5,0,4,2215,18,2013,5,2,NA
0.06779357764810298,4,6,1,4,2600,17,2014,4,2,3
0.4857179793624872,5,6,0,4,990,18,2009,5,1,2
-0.9581267109479039,4,5,1,4,2058,27,2012,5,2,3
0.074554217497176,7,6,0,4,1052,21,2009,7,1,1
-0.4810907842528941,4,6,1,4,242,26,2007,5,2,2
0.09298859365609953,7,6,0,4,1156,21,2010,5,1,2
0.9321066919974688,5,2,1,4,1411,20,2010,3,1,2
0.39010503619120673,5,6,1,4,220,21,2007,7,5,3
0.6420475965634028,3,5,0,4,2190,20,2012,5,1,2
-0.19363901866883734,4,6,0,NA,1927,35,2012,5,2,1
0.08318621519727708,4,6,1,4,3e3,68,2015,10,3,1
0.5626201668446442,7,6,1,4,3158,19,2015,5,1,3
0.4496811910371521,4,8,1,4,2989,13,2015,2,1,2
0.11642095652883502,4,6,0,4,2222,30,2013,10,1,NA
0.9155323904820355,7,4,0,4,1,33,2007,9,2,4
0.7099300289238,4,6,1,4,2861,20,2014,10,2,1
0.46964456976324775,7,6,1,4,402,19,2008,5,2,4
0.9912999559838735,4,6,1,4,330,17,2007,3,4,NA
-0.7187234723689834,4,6,0,4,2938,32,2015,5,2,NA
0.9131584915275218,7,6,1,NA,1750,12,2011,5,2,1
-0.07702758849906056,4,6,1,4,2685,17,2014,NA,3,NA
-0.2165161703750276,5,8,0,4,546,26,2008,5,2,2
-0.9364340381473943,2,6,0,4,2753,48,2014,7,2,NA
0.46371130690936607,4,6,0,4,2003,21,2012,8,1,2
-0.1356569657290795,4,7,1,4,3182,15,2015,3,1,1
0.8138704959020345,6,6,1,4,23,28,2007,7,1,2
0.11908790669395723,3,6,1,4,2249,18,2013,5,2,2
0.6522873533286109,4,6,1,4,1934,45,2012,5,2,4
-0.053247710444847676,4,6,0,4,2037,29,2012,5,1,NA
0.8099589982721822,4,6,1,4,2948,36,2015,6,1,NA
0.27234897902306254,5,6,1,4,812,18,2009,5,1,2
0.24913510268270053,4,6,1,4,822,18,2009,3,2,2
-0.25441390516361057,4,5,1,4,1487,24,2011,5,4,NA
0.6170367210709661,7,2,1,NA,1792,13,2011,5,2,3
0.0526539699872563,4,6,0,4,3259,20,2015,5,1,NA
0.7494832367756346,5,6,0,4,3072,28,2015,7,1,3
0.05219986893127329,4,6,1,4,414,20,2008,5,2,2
0.8621483300408597,6,6,0,4,2892,18,2014,4,1,3
0.8294034328050706,5,5,1,4,3039,33,2015,6,1,2
1.256111525681877,5,2,1,4,666,21,2008,5,1,NA
0.5847962053068465,4,8,0,4,2089,25,2012,8,2,NA
-0.9093620723964668,2,6,0,4,223,25,2007,7,3,NA
0.3714492285327522,4,6,1,4,1481,26,2011,5,3,3
0.8350159603676957,2,7,1,4,2133,16,2012,3,2,3
0.8502758483609121,4,6,1,4,1180,18,2010,5,1,NA
0.23318402067512098,3,5,1,4,488,16,2008,3,2,2
0.950298526770159,7,2,0,4,659,17,2008,4,1,NA
0.244566353648422,4,6,1,4,314,42,2007,9,2,NA
-0.2135935206846313,4,NA,NA,NA,2102,NA,2012,NA,NA,NA
-0.6433200356872539,4,8,1,4,2396,21,2013,7,3,NA
-0.4056372622405315,4,7,0,NA,1752,14,2011,5,NA,2
-0.08334103855902715,4,2,0,4,2963,22,2015,7,2,NA
0.7197004318636953,7,6,0,4,2203,21,2013,7,1,NA
-0.8545780462796981,4,3,1,4,3183,19,2015,5,1,2
0.4259303137435235,5,6,0,4,2509,22,2013,9,3,4
0.7573189408960513,7,3,0,4,403,21,2008,5,3,3
-0.17857890095390042,4,9,1,4,1558,16,2011,NA,1,1
-0.6488655010937505,4,9,0,4,54,15,2007,3,3,2
0.5678536118826428,4,6,1,4,160,23,2007,4,3,2
0.15158901805727226,4,6,1,4,3076,20,2015,5,1,NA
0.41594160219010146,6,6,0,4,992,17,2009,3,3,NA
0.1662376036892634,6,2,1,4,934,21,2009,5,2,3
0.055444865059251065,4,6,0,4,2963,15,2015,3,1,NA
0.01775259040561089,4,6,1,4,2294,18,2013,3,4,2
0.32118830064378046,4,6,1,4,2248,22,2013,7,2,4
0.20456644771010923,4,6,1,4,2565,20,2014,7,3,3
0.47220313483322174,4,9,0,4,2591,21,2014,5,1,1
0.14836096984193228,4,6,1,4,3051,33,2015,10,2,3
0.06985895994829923,4,NA,1,4,1044,17,2009,3,4,NA
0.44597714477271994,4,6,1,4,1368,19,2010,7,2,1
-0.06030361531369689,3,6,1,4,2880,24,2014,8,3,NA
-0.7484254500052832,4,6,1,4,2547,15,2013,3,1,NA
0.23433046723918086,4,6,1,4,3236,25,2015,10,2,NA
0.7960994340522719,5,6,0,4,2159,30,2012,9,1,NA
0.45404928309393916,4,6,1,NA,1885,18,2012,7,3,1
0.19038221430478888,4,5,1,4,2804,38,2014,10,3,1
0.831703508363268,4,6,1,4,3041,20,2015,5,1,NA
0.5968358519100426,5,6,0,4,1331,56,2010,10,2,2
0.5676173403406877,4,6,1,4,2675,19,2014,5,2,3
1.2506176727237932,6,6,0,4,1045,45,2009,9,2,4
1.034681000335478,7,6,1,4,3203,45,2015,5,3,4
0.48726690359293134,4,6,0,4,1377,23,2010,5,1,NA
0.5749896004007583,7,NA,NA,NA,2424,NA,2013,NA,NA,NA
-0.0519397798720129,4,6,1,NA,1730,23,2011,8,NA,1
-0.20586489446913597,4,6,1,4,593,19,2008,5,1,NA
-0.7014900480386257,4,8,1,4,1568,18,2011,3,4,1
0.5476585050126468,5,6,1,4,333,28,2007,5,1,2
0.7250754183542764,6,2,0,4,3001,15,2015,3,3,NA
0.7634496887146422,4,6,0,4,2969,55,2015,5,1,1
0.40062918723693947,5,6,1,4,817,17,2009,4,2,3
0.7664622632124026,7,2,0,4,428,19,2008,5,1,NA
-0.423891933900302,4,6,1,NA,1724,15,2011,5,NA,2
0.0897487240104339,4,6,1,4,678,16,2008,4,2,NA
0.0978724529647306,5,5,1,NA,1894,32,2012,6,3,1
0.5561322205822252,3,6,0,4,2172,21,2012,5,1,NA
-0.06868333036676572,5,6,1,4,3207,20,2015,5,4,2
0.42388739933328556,6,7,NA,4,1226,20,2010,5,2,2
0.0956078352600006,7,6,1,4,2515,16,2013,4,2,4
0.0079599217297502,4,NA,NA,NA,2211,NA,2013,NA,NA,NA
-0.21959252420517728,4,6,1,4,2978,24,2015,8,3,2
1.0912310842868282,6,6,0,NA,1900,10,2012,3,3,2
1.1695850903812413,7,5,1,4,1002,39,2009,7,1,3
0.32053829536849177,4,6,1,4,3165,16,2015,3,2,2
0.7309242454684977,5,2,0,4,1015,16,2009,3,2,NA
-0.019529678373411265,4,6,1,4,2564,17,2014,3,2,1
-0.34537700576015984,4,6,1,NA,1791,21,2011,9,2,1
0.2754714103284516,4,6,0,4,3158,30,2015,7,1,NA
0.0732241147077877,3,6,0,4,2188,33,2012,7,1,1
0.6468244939650468,7,6,1,4,2430,20,2013,5,5,2
1.0031821584483722,7,6,1,4,984,19,2009,5,1,2
0.059824992918364406,4,3,1,NA,1927,24,2012,9,1,NA
0.5805673918662173,4,6,0,NA,1894,14,2012,4,2,1
0.4571982138210854,4,6,1,4,339,17,2007,4,1,NA
0.038762674662591784,4,6,1,4,715,18,2008,5,1,NA
0.9572363478167383,4,6,0,4,864,27,2009,7,4,NA
0.38544854158820085,4,6,0,4,50,16,2007,3,1,NA
0.1134819974769408,5,6,1,4,2951,25,2015,5,3,3
0.6235558049496144,4,3,0,4,764,24,2009,7,4,1
0.4680268674798539,4,3,0,4,3051,16,2015,3,1,2
0.40532499469913735,6,6,1,4,519,22,2008,9,5,4
0.5586617591047118,4,6,1,4,1689,50,2011,9,4,2
0.43797017797272486,7,6,0,4,295,18,2007,5,4,NA
0.05565469219006647,6,6,1,4,1465,17,2011,3,3,1
0.7228951334412128,5,6,1,4,81,21,2007,7,4,3
-8.284362234197429e-4,4,3,1,4,2934,22,2015,8,1,NA
0.23653447154387006,1,6,0,4,687,18,2008,5,2,1
0.2677922257002539,4,9,1,NA,1851,12,2012,5,2,2
0.8543302924362062,4,5,1,4,2457,21,2013,5,2,4
0.0052662127498535605,4,6,1,4,2290,29,2013,9,4,NA
-0.05441252803496786,4,NA,1,NA,536,28,2008,NA,NA,NA
0.2243569236039843,4,6,0,4,3194,20,2015,7,2,NA
0.5835857842626968,7,6,0,NA,1847,19,2012,4,3,1
-0.146145017366064,4,6,1,4,2132,17,2012,3,2,2
-0.11615157965906214,2,7,1,4,741,18,2009,4,1,3
0.9119262748210739,6,6,0,4,608,43,2008,5,3,3
0.6056573310658517,5,NA,NA,NA,301,NA,2007,NA,NA,NA
1.1755202387189734,6,6,1,4,1943,24,2012,5,1,2
-0.4137676812283838,4,6,1,4,3203,16,2015,3,2,NA
0.3264611505757945,4,8,0,NA,1780,23,2011,5,3,3
0.11641566623225312,4,6,1,4,3028,15,2015,3,2,NA
0.9884401399809585,7,6,1,4,1349,19,2010,3,3,3
0.33631486942458777,4,6,1,4,2510,19,2013,5,2,1
0.6721591436230323,6,2,1,4,658,20,2008,7,1,3
0.6267764052296088,7,6,1,4,203,27,2007,NA,2,NA
0.4450221898555742,1,NA,NA,NA,2578,NA,2014,NA,NA,NA
1.184699727535881,6,6,0,4,1341,18,2010,3,1,NA
1.1342514545087026,6,3,0,4,1034,25,2009,7,2,4
0.058302497547431886,6,6,0,4,2566,59,2014,9,1,4
-0.6396287067670308,5,9,1,4,1963,21,2012,5,2,3
0.8823677060803661,4,6,1,4,3174,35,2015,5,1,3
0.10824395698248557,7,5,0,4,779,14,2009,3,3,3
0.611781747200683,4,6,1,4,2150,21,2012,5,4,NA
-0.16829981260905547,5,6,1,4,2005,26,2012,8,1,2
0.10137234069167175,4,6,0,4,336,25,2007,5,1,NA
-1.1209427995154213,4,9,1,4,3206,19,2015,5,2,1
1.1239433339115283,4,6,0,4,426,26,2008,7,1,NA
0.803975997879353,4,6,1,4,2830,49,2014,7,2,NA
-0.37809418822774993,5,6,1,4,2754,28,2014,10,2,3
0.5623313588424972,4,NA,NA,NA,109,NA,2007,NA,NA,NA
0.9724609488399372,5,6,1,NA,1781,13,2011,5,2,1
0.4579674544219803,6,8,1,4,1070,19,2009,5,2,3
0.4461237648083926,4,6,0,4,2592,19,2014,5,3,NA
0.06171388776866085,4,6,1,NA,2930,57,2015,NA,1,NA
0.9633062738735549,4,6,1,4,337,21,2007,5,1,NA
0.7594506420848348,4,9,1,NA,1878,10,2012,4,2,3
0.7233369399418309,7,6,0,4,2507,15,2013,10,1,1
0.8754451745333112,7,6,0,4,1038,57,2009,7,2,3
0.6594021227202299,5,6,0,4,633,17,2008,4,4,3
0.529862805714314,6,6,1,4,3241,19,2015,5,1,4
0.09143685716173117,4,2,1,4,1437,18,2010,5,2,1
0.6089738703430145,4,6,1,4,2251,19,2013,5,1,1
-0.3976686426014715,7,6,0,NA,1840,39,2012,7,2,2
0.23459019589343544,4,6,1,NA,1894,16,2012,5,2,3
-0.4972638336041682,4,6,1,4,977,22,2009,7,1,NA
0.783461268962593,4,8,NA,4,3159,20,2015,5,2,1
0.15598983267579586,4,3,0,4,2195,22,2013,10,2,4
0.38684802257696654,4,8,0,4,1298,22,2010,7,1,4
0.28119288355755967,4,7,1,4,2303,22,2013,5,1,2
0.977919355536039,4,6,1,4,80,36,2007,8,1,2
1.0548316745199429,7,6,0,4,124,15,2007,3,3,NA
0.5470222400981646,7,6,1,4,2617,22,2014,5,2,4
1.0731122151627084,4,6,1,4,435,20,2008,5,1,NA
1.1884127731686869,4,5,1,4,1643,35,2011,5,1,4
0.8633142763498232,4,6,0,NA,527,17,2008,3,3,NA
1.084705014420212,7,6,0,NA,1907,19,2012,5,NA,1
0.6243467860924956,4,9,1,4,2511,19,2013,4,2,2
-0.13932442265252715,2,3,0,4,3287,20,2015,5,1,2
0.3268841843823776,4,6,0,4,2964,26,2015,9,1,NA
0.7337048025416602,7,6,1,4,2606,22,2014,5,4,3
0.9196653029033808,7,6,0,4,991,29,2009,9,2,1
0.6147141873748149,5,6,1,4,267,17,2007,3,2,3
-0.3094467890191818,2,6,1,4,3174,19,2015,5,2,3
0.5118001270903741,4,9,1,4,3088,26,2015,7,3,3
-0.014062055874753794,4,NA,1,4,3100,21,2015,NA,4,NA
0.43861488106559665,4,8,1,4,2976,43,2015,7,2,NA
1.0456761708404558,4,6,0,4,3233,18,2015,7,2,NA
0.8809703465587727,5,6,0,4,3243,33,2015,9,1,1
0.6033371475970344,7,6,0,4,2215,30,2013,5,1,4
0.6674148886123623,7,3,1,4,2080,16,2012,3,1,4
-0.1341094033077384,4,6,1,4,1564,16,2011,3,1,3
0.46047232598725546,4,6,1,4,2594,22,2014,7,1,NA
0.8715418392100189,4,6,1,4,2079,19,2012,7,1,2
0.46317711717679677,4,6,0,NA,1761,55,2011,9,NA,2
0.1998095183980873,2,6,1,4,670,17,2008,3,3,NA
-0.09827644461665862,4,6,0,4,1130,20,2010,5,2,NA
0.1720810115027476,4,8,1,4,1519,NA,2011,10,2,3
-0.06963613646788974,4,6,0,NA,1775,NA,2011,NA,2,2
0.9960470698661139,7,6,1,4,775,24,2009,4,2,3
0.4339332919161249,4,5,1,4,2353,32,2013,10,2,2
1.0708153437871635,7,6,0,4,1564,22,2011,7,1,3
0.1554134771251089,4,6,0,4,2103,17,2012,3,3,3
0.18421991827869094,6,6,1,4,1611,18,2011,4,2,3
0.5670487271119843,7,6,0,4,667,17,2008,NA,2,NA
0.2927180281670582,5,6,1,4,3,41,2007,8,4,3
0.6324213726743495,5,5,0,4,2918,26,2014,9,4,1
0.010712528519954807,4,6,1,4,3014,15,2015,3,2,3
0.3567950737626759,4,6,1,4,1702,21,2011,5,1,NA
0.011824691633007298,2,9,0,4,3048,23,2015,7,1,NA
0.5463861717716672,4,6,0,4,3190,18,2015,3,1,NA
0.0500102954466969,4,6,1,NA,1735,43,2011,6,3,2
-0.21998305020661482,5,6,0,4,542,21,2008,7,2,NA
0.11838943283146801,4,6,0,4,1535,16,2011,3,1,1
0.43240088567875495,7,2,0,NA,1885,12,2012,1,3,2
1.2414767090608712,7,5,1,4,3260,19,2015,5,1,4
-0.4166940379391289,4,6,0,4,3239,15,2015,3,2,NA
0.2102017162197761,5,6,1,4,411,18,2008,NA,1,3
0.44882672820123776,4,6,0,4,827,22,2009,7,3,NA
0.7603843480845669,4,6,1,4,2950,18,2015,3,4,2
0.9773322050565758,6,6,1,4,351,17,2007,3,1,2
1.1962203241251645,5,6,0,4,1374,18,2010,3,1,2
0.9413172231796835,4,6,1,4,1589,22,2011,5,1,2
0.36381636536812473,7,9,1,4,1568,20,2011,7,1,3
0.8559687504495648,5,5,0,4,344,20,2007,5,1,NA
0.8552747644667857,4,6,1,4,1011,22,2009,8,4,2
0.26443294763673125,4,6,1,4,158,51,2007,5,2,2
0.5064527761402209,5,8,0,4,2845,15,2014,3,1,3
0.5416168161158716,4,5,1,4,2479,18,2013,5,1,2
0.310019506796561,4,6,1,4,2860,20,2014,5,2,3
-0.2675173103454399,4,6,NA,4,3111,16,2015,3,1,3
1.2003419963529849,4,2,1,4,347,30,2007,7,1,3
-0.05329556927206302,4,6,1,4,805,22,2009,5,1,1
0.4617058411523536,4,6,1,4,3169,28,2015,5,2,4
0.05118596377525797,4,6,1,4,1193,18,2010,5,1,NA
0.8162169632264298,4,6,0,4,1375,19,2010,5,2,NA
-0.24887172652562536,4,6,1,4,1572,23,2011,7,2,1
0.6388747906482983,6,6,1,4,1551,20,2011,5,2,NA
0.809154411509943,4,6,0,4,2795,26,2014,9,1,NA
