implicit,explicit,raceomb,sex,politics,year,age,education
-0.21317242,3.5,6,m,2,2010,19,5
-0.211538931,4.5,6,f,4,2013,18,3
0.24011255,4.5,5,f,3,2013,17,5
1.053152194,5,6,m,4,2013,21,6
0.144629196,6,5,m,6,2009,61,10
0.448700882,4,6,f,3,2012,49,6
-0.388462554,3,6,f,3,2011,17,3
-0.11257374,5,6,f,5,2009,19,NA
0.361054121,4.5,6,f,4,2007,24,5
-0.09453267,4,6,m,7,2009,27,10
0.326620761,4,NA,f,4,2008,34,9
-0.548701645,4,3,f,7,2015,36,10
0.774361343,4,6,f,7,2008,26,3
-0.130752589,5,6,f,1,2012,34,9
0.048515275,4.5,6,f,4,2009,16,3
0.107090866,4,6,f,4,2015,16,3
0.710911652,6,6,f,1,2007,41,9
0.345984087,4,6,f,4,2010,22,5
0.869399169,5,6,f,7,2011,17,3
0.887907196,6,9,f,7,2015,18,4
0.782979544,4.5,6,f,5,2010,16,3
-0.072389689,4.5,2,m,7,2011,38,8
0.883788083,5.5,1,f,5,2008,17,3
-0.353078394,4,6,f,7,2011,33,9
0.581271702,4.5,6,f,7,2007,17,5
-0.684295367,4.5,6,f,3,2009,24,8
0.795669143,5.5,2,f,7,2011,33,9
0.274179983,5.5,6,f,5,2011,56,9
-9.15416e-4,4,6,m,7,2007,27,8
-0.108872176,4.5,6,f,7,2009,27,6
0.15585439,4,6,f,5,2015,18,3
0.732359219,4.5,6,f,NA,2012,23,9
0.423912046,4,3,f,2,2007,25,9
0.595120806,3.5,NA,m,4,2009,18,3
0.46433509,7,6,m,1,2015,36,5
0.161553272,5,6,f,6,2015,19,5
-0.351874968,4,6,m,4,2015,16,3
0.515491183,4,6,f,6,2015,19,5
0.223994785,4.5,6,m,2,2010,19,5
0.695317003,5,6,f,2,2013,54,9
-0.435774152,4,6,f,3,2011,23,5
0.481777395,4.5,6,m,4,2015,44,7
0.324161494,5,NA,.,NA,2012,NA,NA
0.73202007,4.5,6,f,7,2009,24,7
0.357980254,5,6,f,7,2014,29,9
0.239136264,5,6,f,7,2015,48,8
