Implicit,Explicit,racenum,sexnum,politics,age,year,education,datecode,numiats,Age_group
0.2179101053219018,3,6,1,3,18,2010,5,1403,2,1
0.5508427741739104,4,6,1,2,57,2013,7,2277,1,5
0.6532552667747189,5,6,1,6,17,2013,3,2415,1,1
0.59705483634418,6,6,1,3,18,2011,3,1489,2,1
-0.27447643054662596,6,6,1,6,21,2009,5,744,2,2
0.3180152234498714,4,NA,NA,NA,NA,2017,NA,3683,NA,NA
0.20259987789777378,3,6,1,4,19,2011,5,1563,1,1
-0.10558398620850479,5,6,1,4,17,2013,3,2286,2,1
0.4682764670856877,4,3,0,4,40,2008,7,630,1,3
-0.15247239940288768,4,6,1,4,14,2009,2,795,1,1
0.6102770188378766,4,NA,NA,NA,NA,2013,NA,2256,NA,NA
0.5302253549803315,5,5,1,NA,16,2015,3,2988,1,1
0.29224668971202217,3,NA,NA,NA,NA,2017,8,3673,NA,NA
-0.4155073138419759,3,6,1,3,53,2013,6,2302,1,5
0.7877663354067794,4,6,1,6,45,2014,9,2642,1,4
0.8306622465125877,4,6,1,4,40,2007,7,286,1,3
0.18453150254865586,4,6,0,2,38,2011,9,1783,2,3
0.6229750421977371,7,6,1,4,41,2009,5,929,1,4
0.37025392462528306,4,7,1,4,15,2014,3,2696,1,1
0.8367390664041325,5,2,0,4,23,2007,9,293,1,2
0.14143653454783883,4,6,1,4,27,2016,6,3371,2,2
-0.03575221796864421,5,3,1,4,19,2009,4,1033,3,1
0.5716126472284032,4,6,0,4,20,2011,6,1586,3,1
0.5881580359153793,6,6,1,6,23,2012,4,2117,1,2
0.742952136491165,4,6,1,4,18,2009,3,851,3,1
0.2838181176757598,5,6,1,4,19,2008,5,660,1,1
0.34031554691931043,4,6,1,4,21,2009,5,759,4,2
0.8285983345609802,6,6,1,6,28,2015,7,2996,1,2
-0.18111709440842155,2,6,1,5,19,2015,5,3183,2,1
1.070781964982943,5,6,1,NA,17,2015,3,3228,NA,1
0.5164189381562235,4,5,1,4,39,2012,5,1881,1,3
0.5594510893642108,3,9,0,5,24,2015,9,2967,2,2
-0.391989126023442,3,6,1,5,23,2007,5,48,4,2
0.3605000366170075,6,6,1,4,19,2012,5,2122,1,1
0.3352434988734756,5,6,1,2,20,2013,6,2461,3,1
0.759620861078163,5,6,1,5,21,2013,6,2461,1,2
-0.14101293445043,5,NA,NA,NA,NA,2017,5,3888,NA,NA
0.711501047403386,5,6,0,5,26,2007,7,202,4,2
0.5556737355437931,4,6,1,4,21,2014,5,2608,1,2
0.7526572575383987,6,6,1,2,25,2010,7,1220,2,2
0.10624600345450197,5,6,1,3,18,2015,5,3230,1,1
0.34549990035867917,4,NA,0,4,17,2013,3,2257,2,1
0.5214210276021578,4,3,1,4,22,2013,7,2324,1,2
0.1625893037078926,6,6,NA,6,28,2009,7,881,2,2
0.4456648722691433,3,NA,NA,NA,NA,2017,6,3677,NA,NA
0.8937390121019819,5,6,1,NA,17,2013,3,2271,1,1
0.8706912035109109,5,6,1,4,20,2007,5,39,3,1
-0.08529246823357421,2,6,1,4,31,2010,4,1433,2,3
